DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2017-01-18,18894.37,18941.24,18650.33,18753.96,0
2017-01-19,19072.25,19122.39,18982.13,19082.83,0
2017-01-20,19137.91,19176.86,19040.2,19059.15,0
2017-01-23,18891.03,19024.21,18879.68,18938.45,0
2017-01-24,18787.99,18915.7,18783.16,18817.42,0
2017-01-25,19057.5,19133.18,18987.45,19091.23,0
2017-01-26,19402.39,19405.23,19232.46,19260.67,0
2017-01-27,19467.4,19486.68,19404.13,19453.51,0
2017-01-30,19368.85,19390.97,19295.8,19371.28,0
2017-01-31,19041.34,19199.75,19041.34,19145.35,0
2017-02-01,19148.08,19155.79,18916.18,18926.97,0
2017-02-02,18914.58,19170.63,18866.8,19152.79,0
2017-02-03,18918.2,19061.26,18830.89,18996.74,0
2017-02-06,18976.71,19075.57,18899.4,19069.72,0
2017-02-07,18910.78,18970.58,18805.32,18844.12,0
2017-02-08,19007.6,19009.24,18875.57,18951.16,0
2017-02-09,18907.67,18991.23,18874.91,18942.04,0
2017-02-10,19378.93,19395.99,19193.57,19216.74,0
2017-02-13,19459.15,19519.44,19418.18,19513.78,0
2017-02-14,19238.98,19501.01,19232.85,19478.86,0
2017-02-15,19437.98,19495.62,19420,19438.81,0
2017-02-16,19347.53,19431.61,19260.24,19431.61,0
2017-02-17,19234.62,19275.39,19173.53,19228.74,0
2017-02-20,19251.08,19274.75,19115.11,19161.33,0
2017-02-21,19381.44,19395.35,19261.98,19267.87,0
2017-02-22,19379.87,19419.22,19329.28,19419.22,0
2017-02-23,19371.46,19379.92,19262.63,19379.92,0
2017-02-24,19283.54,19381.1,19219.58,19232.11,0
2017-02-27,19107.47,19178.99,18995.55,19130.51,0
2017-02-28,19118.99,19267.99,19118.99,19194.68,0
2017-03-01,19393.54,19414.55,19164.62,19226.94,0
2017-03-02,19564.8,19668.01,19564.8,19624.82,0
2017-03-03,19469.17,19587.79,19392.75,19551.34,0
2017-03-06,19379.14,19411.54,19340.32,19409.18,0
2017-03-07,19344.15,19375.09,19317.1,19337.19,0
2017-03-08,19254.03,19326.4,19198.78,19308.53,0
2017-03-09,19318.58,19350.2,19262.98,19343.06,0
2017-03-10,19604.61,19623.72,19427.81,19444.71,0
2017-03-13,19633.75,19656.48,19531.51,19545.74,0
2017-03-14,19609.5,19637.55,19599.62,19634.29,0
2017-03-15,19577.38,19581.53,19503.74,19528.75,0
2017-03-16,19590.14,19618.99,19454.17,19458.7,0
2017-03-17,19521.59,19547.51,19487.92,19510.89,0
2017-03-21,19455.88,19485.14,19337.22,19416.55,0
2017-03-22,19041.38,19183.27,19026.53,19146.62,0
2017-03-23,19085.31,19105.11,18973.75,19048.84,0
2017-03-24,19262.53,19296.05,19060.64,19066.35,0
2017-03-27,18985.59,19086.89,18932.09,19071.19,0
2017-03-28,19202.87,19203.64,19113.44,19159.07,0
2017-03-29,19217.48,19251.3,19164.61,19216.78,0
2017-03-30,19063.22,19218.08,19043.48,19150.82,0
2017-03-31,18909.26,19210.92,18909.26,19170.42,0
2017-04-03,18983.23,19068.62,18920.52,18988,0
2017-04-04,18810.25,18947.33,18703.63,18933.82,0
2017-04-05,18861.27,18941.94,18773.94,18900.7,0
2017-04-06,18597.06,18797.44,18532.65,18754.37,0
2017-04-07,18664.63,18785.73,18517.43,18714.98,0
2017-04-10,18797.88,18850.8,18762.7,18800.22,0
2017-04-11,18747.87,18767.7,18661.86,18717.55,0
2017-04-12,18552.61,18602.5,18460.59,18592.1,0
2017-04-13,18426.84,18455.25,18304.72,18391.72,0
2017-04-14,18335.63,18531.91,18285.73,18531.91,0
2017-04-17,18355.26,18361.44,18224.68,18239.84,0
2017-04-18,18418.59,18547.46,18362.73,18497.38,0
2017-04-19,18432.2,18467.73,18327.33,18327.33,0
2017-04-20,18430.49,18523.4,18420.82,18446.39,0
2017-04-21,18620.75,18648.28,18542.42,18591.82,0
2017-04-24,18875.88,18910.33,18840.13,18890.38,0
2017-04-25,19079.33,19109.76,18867.19,18872.56,0
2017-04-26,19289.43,19289.43,19170.86,19184.92,0
2017-04-27,19251.87,19281.7,19199.59,19205.59,0
2017-04-28,19196.74,19264.57,19164.68,19240.65,0
2017-05-01,19310.52,19311.21,19144.62,19154.03,0
2017-05-02,19445.7,19464.3,19335.02,19335.72,0
2017-05-08,19895.7,19929.48,19705.13,19709.01,0
2017-05-09,19843,19917.45,19838.71,19915.64,0
2017-05-10,19900.09,19938.53,19866.3,19890.56,0
2017-05-11,19961.55,19989.94,19906.35,19943.95,0
2017-05-12,19883.9,19941.64,19809.91,19941.64,0
2017-05-15,19869.85,19869.85,19740.63,19753.46,0
2017-05-16,19919.82,19998.49,19862.41,19953.06,0
2017-05-17,19814.88,19842.78,19764.63,19806.78,0
2017-05-18,19553.86,19601.53,19449.73,19556.99,0
2017-05-19,19590.76,19628.64,19497.29,19591.41,0
2017-05-22,19678.28,19722.93,19618.73,19670.48,0
2017-05-23,19613.28,19693.02,19585.54,19647.74,0
2017-05-24,19742.98,19782.81,19690.1,19777.56,0
2017-05-25,19813.13,19850.93,19720.12,19737.21,0
2017-05-26,19686.84,19801.59,19686.49,19798.49,0
2017-05-29,19682.57,19736.62,19627.19,19697.18,0
2017-05-30,19677.85,19691.44,19570.13,19681.11,0
2017-05-31,19650.57,19673.51,19589.25,19630.33,0
2017-06-01,19860.03,19887.66,19686.32,19692.16,0
2017-06-02,20177.28,20239.81,19967,19970.23,0
2017-06-05,20170.82,20224.54,20104.13,20135.42,0
2017-06-06,19979.9,20152.95,19948.02,20122.26,0
2017-06-07,19984.62,20023.24,19908.07,19951.68,0
2017-06-08,19909.26,20061.22,19896.35,20048.28,0
2017-06-09,20013.26,20096.01,19927.07,19953.06,0
2017-06-12,19908.58,19949.07,19837.64,19920.77,0
2017-06-13,19898.75,19929.03,19850.86,19859.81,0
2017-06-14,19883.52,20009.93,19879.6,19974.56,0
2017-06-15,19831.82,19963.36,19755.34,19815.54,0
2017-06-16,19943.26,20015.16,19884.8,19931.15,0
2017-06-19,20067.75,20087.71,19949.88,19974.3,0
2017-06-20,20230.41,20318.11,20227.29,20234.12,0
2017-06-21,20138.79,20215.11,20117.79,20192.16,0
2017-06-22,20110.51,20191.42,20107.89,20154.38,0
2017-06-23,20132.67,20152.58,20089.54,20152.58,0
2017-06-26,20153.35,20196.38,20119.04,20132.81,0
2017-06-27,20225.09,20250.1,20185.19,20229.12,0
2017-06-28,20130.41,20224.3,20110.49,20149.2,0
2017-06-29,20220.3,20266.59,20197.38,20260.87,0
2017-06-30,20033.43,20044.01,19946.51,20025.63,0
2017-07-03,20055.8,20096.14,20030.61,20056.32,0
2017-07-04,20032.35,20197.16,19971.53,20192.27,0
2017-07-05,20081.63,20087.01,19888.9,20015.07,0
2017-07-06,19994.06,20078.88,19947.63,20061.68,0
2017-07-07,19929.09,19979.93,19856.65,19856.65,0
2017-07-10,20080.98,20127.76,20023.03,20070.44,0
2017-07-11,20195.48,20200.88,20070.67,20073.86,0
2017-07-12,20098.38,20153.04,20061.16,20137.22,0
2017-07-13,20099.81,20183.8,20062.27,20177.28,0
2017-07-14,20118.86,20163.67,20101.71,20157.92,0
2017-07-18,19999.91,20081.29,19943.14,20074.41,0
2017-07-19,20020.86,20032.46,19947.26,19970.78,0
2017-07-20,20144.59,20157.11,20032.23,20046.9,0
2017-07-21,20099.75,20135.33,20081.91,20089.86,0
2017-07-24,19975.67,20002.54,19901.88,19973.67,0
2017-07-25,19955.2,20036.31,19941.61,19979.56,0
2017-07-26,20050.16,20116,20016.58,20098.14,0
2017-07-27,20079.64,20176.39,20005.2,20026.58,0
2017-07-28,19959.84,20056.16,19926.6,20048.46,0
2017-07-31,19925.18,19983.9,19891.9,19933.45,0
2017-08-01,19985.79,20000.46,19904.72,19907.08,0
2017-08-02,20080.04,20113.73,20022.05,20057.07,0
2017-08-03,20029.26,20070.16,19985.4,20066,0
2017-08-04,19952.33,19984.51,19933.59,19949.79,0
2017-08-07,20055.89,20085.9,20037.4,20059.29,0
2017-08-08,19996.01,20076.8,19970.57,20062.65,0
2017-08-09,19738.71,19945.28,19660.22,19928.96,0
2017-08-10,19729.74,19829.88,19685.83,19792.45,0
2017-08-14,19537.1,19598.41,19486.48,19545.58,0
2017-08-15,19753.31,19824.12,19656.91,19689.38,0
2017-08-16,19729.28,19776.86,19719.08,19750.55,0
2017-08-17,19702.63,19739.04,19679.37,19707.75,0
2017-08-18,19470.41,19543.13,19433.09,19471.27,0
2017-08-21,19393.13,19509.53,19365.65,19509.53,0
2017-08-22,19383.84,19437.25,19361.95,19373.11,0
2017-08-23,19434.64,19561.32,19408.47,19547.05,0
2017-08-24,19353.77,19428.55,19351.92,19366.36,0
2017-08-25,19452.61,19485.97,19384.37,19401.12,0
2017-08-28,19449.9,19535.5,19420.5,19502.23,0
2017-08-29,19362.55,19371.9,19280.02,19319.11,0
2017-08-30,19506.54,19538.23,19435.1,19480.98,0
2017-08-31,19646.24,19687.99,19583.11,19591.32,0
2017-09-01,19691.47,19735.96,19620.07,19733.57,0
2017-09-04,19508.25,19628.4,19479.4,19615.96,0
2017-09-05,19385.81,19542.78,19354.59,19533.38,0
2017-09-06,19357.97,19371.38,19254.67,19286.06,0
2017-09-07,19396.52,19482.72,19365.75,19433.44,0
2017-09-08,19274.82,19357.49,19239.52,19297.96,0
2017-09-11,19545.77,19567.03,19437.14,19441.39,0
2017-09-12,19776.62,19792.06,19718.8,19736.14,0
2017-09-13,19865.82,19888.84,19845.02,19873.69,0
2017-09-14,19807.44,19918.39,19793.85,19860.37,0
2017-09-15,19909.5,19933.4,19787.65,19793.8,0
2017-09-19,20299.38,20320.78,20122,20128.18,0
2017-09-20,20310.46,20339.37,20272.82,20301.33,0
2017-09-21,20347.48,20481.27,20332.69,20456.5,0
2017-09-22,20296.45,20417.07,20249.24,20413.61,0
2017-09-25,20397.58,20454.29,20367.03,20439.43,0
2017-09-26,20330.19,20385.5,20303.98,20349.26,0
2017-09-27,20267.05,20278.09,20213.66,20269.82,0
2017-09-28,20363.11,20399.87,20299.68,20398.63,0
2017-09-29,20356.28,20370.33,20285.06,20315.34,0
2017-10-02,20400.78,20411.33,20363.28,20400.51,0
2017-10-03,20614.07,20628.38,20438.17,20475.25,0
2017-10-04,20626.66,20689.08,20592.18,20660.81,0
2017-10-05,20628.56,20667.47,20602.26,20650.71,0
2017-10-06,20690.71,20721.15,20659.15,20716.85,0
2017-10-10,20823.51,20823.66,20663.08,20680.54,0
2017-10-11,20881.27,20898.41,20788.12,20803.71,0
2017-10-12,20954.72,20994.4,20917.04,20958.18,0
2017-10-13,21155.18,21211.29,20933,20959.66,0
2017-10-16,21255.56,21347.07,21187.93,21221.27,0
2017-10-17,21336.12,21393.96,21230.67,21352.17,0
2017-10-18,21363.05,21402.76,21317.67,21374.66,0
2017-10-19,21448.52,21503.85,21381.52,21450.04,0
2017-10-20,21457.64,21489.26,21363.1,21390.95,0
2017-10-23,21696.65,21723.6,21614.51,21709.3,0
2017-10-24,21805.17,21805.17,21646.52,21670,0
2017-10-25,21707.62,21921.36,21648.35,21900.13,0
2017-10-26,21739.78,21793.62,21688.56,21698.95,0
2017-10-27,22008.45,22016.5,21815.72,21903.27,0
2017-10-30,22011.67,22086.88,21921.24,22047.95,0
2017-10-31,22011.61,22020.38,21840.07,21897.29,0
2017-11-01,22420.08,22455.92,22130.03,22144.92,0
2017-11-02,22539.12,22540.25,22400.01,22512.18,0
2017-11-06,22548.35,22644.68,22435.34,22612.96,0
2017-11-07,22937.6,22953.18,22512.91,22518.75,0
2017-11-08,22913.82,22922.8,22759.07,22849.91,0
2017-11-09,22868.71,23382.15,22522.83,22989.44,0
2017-11-10,22681.42,22724.39,22511.93,22580.7,0
2017-11-13,22380.99,22607.92,22380.99,22607.56,0
2017-11-14,22380.01,22532.3,22323.24,22342.93,0
2017-11-15,22028.32,22305.24,22004.79,22250.98,0
2017-11-16,22351.12,22392.13,21972.34,21975.23,0
2017-11-17,22396.8,22757.4,22319.12,22603.3,0
2017-11-20,22261.76,22410.24,22215.07,22279.98,0
2017-11-21,22416.48,22563.25,22416.48,22456.79,0
2017-11-22,22523.15,22677.34,22513.44,22601.55,0
2017-11-24,22550.85,22567.2,22381.01,22390.14,0
2017-11-27,22495.99,22659.33,22423.4,22657.08,0
2017-11-28,22486.24,22580.99,22363.94,22474.74,0
2017-11-29,22597.2,22643.93,22537.12,22613.96,0
2017-11-30,22724.96,22748.32,22502.68,22601.83,0
2017-12-01,22819.03,22994.31,22675.07,22916.93,0
2017-12-04,22707.16,22864.33,22693.99,22843.53,0
2017-12-05,22622.38,22682.71,22522.28,22595.33,0
2017-12-06,22177.04,22528.21,22119.21,22525.38,0
2017-12-07,22498.03,22515.24,22317.15,22317.15,0
2017-12-08,22811.08,22819.71,22625.41,22627.95,0
2017-12-11,22938.73,22938.73,22787.4,22894.3,0
2017-12-12,22866.17,22994.33,22834.89,22936.41,0
2017-12-13,22758.07,22879.37,22697.32,22879.27,0
2017-12-14,22694.45,22786.61,22638.76,22699.3,0
2017-12-15,22553.22,22745.09,22478.32,22621.36,0
2017-12-18,22901.77,22927.5,22735.2,22770.44,0
2017-12-19,22868,22990.42,22862.82,22961.47,0
2017-12-20,22891.72,22923.5,22806.73,22834.93,0
2017-12-21,22866.1,22894.95,22728.06,22852.01,0
2017-12-22,22902.76,22908.84,22801.16,22850.73,0
2017-12-25,22939.18,22948.83,22870.19,22909.41,0
